name,x,y,time_in,time_out
dgvejypg,0.447,0.824,343,1923
nykcvocm,0.722,0.789,840,1404
vwlwmgrp,0.284,0.027,512,1320
floohxyh,0.877,0.707,180,1273
joweppza,0.745,0.413,153,1981
ljrvlmhu,0.486,0.184,856,1166
nmmdmngv,0.754,0.971,933,1053
opfzdypv,0.979,0.335,671,1034
wqhiduif,0.71,0.989,616,1106
biaxgnit,0.483,0.415,837,1212
tfqdpdad,0.817,0.586,319,1196
rlzjphnd,0.176,0.683,714,1360
slkxeouj,0.821,0.566,237,1920
tgbjngjl,0.147,0.293,22,664
psiwdpst,0.816,0.923,51,1476
lwhaedvz,0.4,0.967,143,1468
bnaxmtcg,0.26,0.074,727,1754
qxlgxcxp,0.746,0.973,455,463
cxwzphag,0.64,0.412,180,1165
ljimxmxu,0.848,0.567,617,1505
ihowlfev,0.371,0.566,931,1725
psuotsyn,0.33,0.995,549,927
zsnqcxju,0.221,0.54,626,1230
oijyuvhj,0.773,0.996,531,1734
bpeuomzw,0.706,0.511,736,1046
stsepozm,0.878,0.331,864,1424
diujilai,0.348,0.117,698,1746
awmklazo,0.424,0.876,161,1477
zrcqxvfq,0.155,0.625,79,529
xyxjvapu,0.959,0.506,602,1731
hewzwksq,0.412,0.2,482,1544
zhiqedwx,0.922,0.524,287,1547
eipokzon,0.513,0.327,799,1941
auryxvvz,0.225,0.334,725,1324
xmoqwzpv,0.22,0.027,919,1020
mefkhzwf,0.763,0.559,221,1568
zgnrxvwf,0.199,0.481,541,1962
ttjihrft,0.038,0.264,203,1125
omxxmiyt,0.62,0.657,198,1788
yonkujjd,0.277,0.65,148,1774
fuglfcpw,0.551,0.624,554,1033
nljjgmup,0.886,0.813,348,532
vfnyhvdw,0.032,0.108,918,1028
lnqarxkw,0.845,0.321,608,800
albfsqbm,0.001,0.69,878,1171
dxapzjbn,0.827,0.577,493,868
rnsycaic,0.839,0.409,28,385
nvayefzj,0.065,0.429,331,783
weghdscs,0.323,0.602,551,1250
wfdzrusi,0.043,0.02,260,1570
mkiaxuhy,0.38,0.158,194,1539
kflotull,0.426,0.688,741,1166
ghcjeqrb,0.673,0.271,686,860
qpydszdl,0.478,0.486,642,1218
yryfmxya,0.958,0.382,98,334
gvwbgkkf,0.574,0.07,683,749
xiwgsfri,0.23,0.801,260,1314
eclgdmza,0.165,0.55,994,1472
shhqifks,0.253,0.884,578,1383
qhocogll,0.893,0.133,442,1037
pelnvzcr,0.976,0.14,413,1133
ugvhymsw,0.09,0.098,244,1318
epxtsmoo,0.596,0.493,994,1398
prutoinm,0.564,0.663,108,1664
huwqxdbr,0.785,0.036,70,619
vjxohugi,0.359,0.886,688,840
gtaumlkh,0.445,0.289,634,1208
igjuvmhs,0.275,0.39,824,989
cdodfxie,0.336,0.099,775,1533
yqrsuxeh,0.007,0.57,49,1762
gmqtxcec,0.949,0.885,789,1084
tpqyeiay,0.525,0.655,382,414
nsrdwrma,0.09,0.511,872,1979
ptuoyfla,0.257,0.744,283,452
uxthttag,0.537,0.286,461,1163
cbflfpxr,0.073,0.143,734,843
owhmvokg,0.497,0.012,411,1715
tghxfdul,0.484,0.102,462,1460
zoizqfcs,0.156,0.994,793,1594
cspzzwyu,0.846,0.123,486,1793
cdstkgbt,0.112,0.635,56,292
eyigrmjq,0.989,0.697,213,1108
mlkzzuwd,0.169,0.344,519,1817
dgqkburx,0.807,0.249,342,830
ankwftuq,0.309,0.309,518,1827
znpeythr,0.27,0.421,535,688
toglqdxb,0.886,0.088,540,1533
mxxejbbl,0.649,0.5,997,1155
duimmueg,0.218,0.334,132,1396
bihalora,0.926,0.385,519,1178
ealhebaf,0.89,0.356,114,848
xesqgfoc,0.437,0.736,991,1968
yctaglvt,0.951,0.057,660,1349
dwifpkki,0.288,0.357,879,1560
vcdqarlf,0.144,0.712,812,1774
yylvfvce,0.604,0.156,643,1447
oovqfeev,0.728,0.82,60,1660
mlbeyfow,0.258,0.977,167,506
lwisogxb,0.568,0.975,227,558
qajuqlcg,0.142,0.204,157,1263
hizhfnui,0.638,0.775,632,1492
kkdmgxjp,0.581,0.671,30,1457
csprhrhy,0.048,0.465,161,746
jnhyibla,0.736,0.937,557,1584
evhbpvri,0.949,0.824,735,1725
piehisng,0.613,0.418,212,1443
rsrfbfkw,0.097,0.413,658,1941
hgtbqhbp,0.033,0.968,292,1564
xblmusjx,0.052,0.611,677,1354
dcznrnxd,0.204,0.758,653,1226
gsawexey,0.017,0.748,424,1271
dxqxhedx,0.718,0.165,926,970
krjjkkvm,0.179,0.864,30,148
bgnwdzmw,0.851,0.726,295,575
ogneqbns,0.572,0.355,116,191
kdiaonvz,0.537,0.911,370,1450
xyjopcnb,0.424,0.987,87,1259
naldcagd,0.078,0.663,457,1544
siirllcw,0.182,0.186,953,1094
ptvafcmm,0.478,0.233,57,797
ingmejte,0.081,0.354,447,1590
mofvqzss,0.83,0.936,111,694
vplcrqql,0.431,0.757,669,1057
hzdbpfln,0.243,0.876,301,342
tyzxjgse,0.743,0.622,816,1417
wbykudlx,0.627,0.373,901,1817
xluyanlx,0.447,0.552,579,1215
lclgqoui,0.977,0.465,822,1858
sgwimony,0.973,0.215,630,1560
zswanjke,0.875,0.986,67,1464
ujxqgznb,0.351,0.558,510,649
tnfgoyuo,0.27,0.203,116,1846
wnnqzelw,0.301,0.781,123,770
ahpriwmn,0.116,0.987,565,1083
wjxivrmj,0.817,0.385,866,1265
rdluelos,0.475,0.605,25,933
lfodjdtr,0.688,0.098,607,1150
ldncixts,0.689,0.563,489,1786
ojwerzxg,0.203,0.019,311,1649
rgypbmjn,0.812,0.977,793,989
tiouybqy,0.672,0.613,914,1194
ubpxnpaq,0.689,0.942,472,1801
lianqszy,0.568,0.419,517,999
oevdvspl,0.154,0.696,262,1661
xurawzow,0.86,0.509,253,1545
wsimkaqt,0.287,0.911,871,1438
cucwbmeu,0.16,0.321,222,354
jclqnkgu,0.361,0.575,537,737
phqproom,0.554,0.239,865,1461
snxplxmi,0.572,0.648,996,1404
xfrxizxr,0.398,0.746,16,494
beiijgci,0.977,0.249,36,219
wwvccmqb,0.853,0.192,701,826
ozeuroiq,0.714,0.949,971,1201
kdpgqtuf,0.989,0.706,622,1201
virhorvm,0.905,0.958,989,1616
lxftrhql,0.011,0.167,34,452
gkfzmhtr,0.11,0.607,750,1675
rlmpmjnk,0.879,0.726,416,1930
eslicsbi,0.561,0.064,82,1250
mrpkngfg,0.174,0.021,428,867
npuromsg,0.486,0.211,995,1300
uptqahdj,0.67,0.456,462,1119
jknejxqv,0.495,0.542,165,693
hdinkaxh,0.889,0.724,612,1315
fqlofeci,0.8,0.943,70,1174
wvxdbqik,0.825,0.7,813,959
egyoabky,0.183,0.88,96,1237
bwvnnfwn,0.626,0.493,899,1090
jlhlbdya,0.29,0.428,248,1247
abyffcyj,0.393,0.173,687,1452
nvjghxee,0.85,0.353,922,1041
wxhcyxap,0.43,0.62,275,860
mufrpihx,0.753,0.691,307,1720
mtkywzcw,0.584,0.078,120,251
edkkkyza,0.231,0.666,246,248
sdkltjql,0.805,0.145,809,895
lrzvicqd,0.903,0.072,191,1094
gnljofjb,0.342,0.338,583,970
fzypoodl,0.421,0.011,283,1166
vlfhidjp,0.427,0.811,82,242
qiwqgvyf,0.032,0.839,894,1891
hpbzztah,0.503,0.641,947,1565
esojkpkg,0.827,0.577,521,816
mepverta,0.254,0.404,96,1547
jqfojchv,0.075,0.039,690,1932
lerxolrl,0.022,0.0,36,608
kbdsmfyw,0.114,0.008,677,1086
yjhigzlz,0.546,0.495,724,1818
jksmoimg,0.443,0.718,595,1296
rbpersrm,0.281,0.979,458,1123
nhonehaw,0.349,0.273,900,944
ugedehke,0.361,0.659,655,1133
azrzbwpj,0.172,0.623,3,314
tibuahtl,0.779,0.527,946,1317
atopuhll,0.187,0.49,943,1702
vbtygbsh,0.818,0.115,611,1633
vypgscaz,0.156,0.791,762,1742
cdveseds,0.634,0.454,100,690
yshijpad,0.728,0.697,898,1504
tklwwlqy,0.739,0.033,538,804
qntkjpgi,0.91,0.19,817,1503
zevtxnpn,0.392,0.215,319,1122
giwmtmrc,0.493,0.373,832,1964
vjfkttmb,0.315,0.48,49,140
iucbzflw,0.271,0.342,813,821
kvvxzfop,0.592,0.393,341,732
sslijcjk,0.977,0.653,906,1752
cwebjjtc,0.82,0.134,416,741
slevxxdr,0.686,0.261,601,1151
wsygxcza,0.372,0.349,867,1629
nvwpecmj,0.901,0.308,510,1346
imlexbnh,0.464,0.614,846,978
ltntejcz,0.728,0.759,352,598
qzllrtpw,0.927,0.544,605,1186
