name,x,y,time_in,time_out
lkspntqf,0.067,0.251,984,1813
dgihcaeo,0.148,0.665,263,1478
ndlnaoas,0.635,0.633,749,1469
nydoaupo,0.728,0.162,543,1013
gagfsmye,0.942,0.57,46,1003
byypxwcc,0.501,0.026,357,1402
maizwaaf,0.505,0.804,857,1659
tbqxdpxd,0.653,0.119,236,1233
lhpiwbpk,0.254,0.602,362,910
hbrvdjmg,0.647,0.82,325,586
kvjgshgp,0.008,0.063,732,760
uvqjlqtt,0.065,0.996,731,1054
yfatzjwn,0.484,0.392,487,684
hugwtscr,0.994,0.9,696,1936
gwnqrnbe,0.694,0.223,884,1530
jxdzvwee,0.413,0.685,8,141
oqzobfqb,0.814,0.343,437,1301
yaulvial,0.675,0.501,974,1172
lzcvnzqq,0.836,0.691,734,1516
qpzlkgwu,0.181,0.396,881,969
yhhaztaw,0.494,0.035,652,1962
upriyibt,0.275,0.721,438,926
osxypnhj,0.921,0.984,758,1745
bbdgvjks,0.442,0.726,105,253
holrhxoi,0.884,0.661,565,1215
xjdwkdat,0.545,0.991,337,648
smtjotfm,0.869,0.814,764,1247
wzgrvtov,0.166,0.939,634,1072
lfuqrtao,0.979,0.533,721,937
xyituoti,0.545,0.84,393,512
ptmplpyx,0.629,0.955,536,648
oahrvwml,0.176,0.509,147,1898
zfxqshuz,0.145,0.782,578,1674
ypikdtic,0.595,0.811,988,1418
zvkmatzc,0.972,0.531,134,1725
enbmgawz,0.648,0.933,380,1517
ojwnjihz,0.613,0.933,668,806
lrkrhnbc,0.644,0.133,450,1517
ixzytufc,0.545,0.162,270,794
omnkxnub,0.936,0.547,683,1350
bebcsxlh,0.876,0.08,579,1625
etmhvkov,0.09,0.554,115,373
znfpcluu,0.643,0.731,110,1326
gmnlftvh,0.443,0.309,233,332
dgivquua,0.555,0.811,625,1095
faottavw,0.655,0.435,691,1195
slvkntnq,0.347,0.052,525,899
wdpszvzm,0.21,0.904,794,1177
txznpzfs,0.298,0.364,549,1326
rfbitffi,0.931,0.019,677,976
zdcypcfx,0.803,0.224,861,1946
jkxarvpe,0.981,0.131,475,1433
zatgnncn,0.051,0.919,642,1101
vhaqfmqc,0.757,0.754,82,1189
qyitjsxp,0.932,0.964,787,1255
bmpvobec,0.126,0.653,240,1166
kzrxdzga,0.185,0.183,660,1566
qrcnyjwt,0.709,0.012,257,1224
iammcbxk,0.817,0.659,107,1313
bkqecdgf,0.821,0.721,676,1117
izyasbym,0.123,0.094,766,966
vyxpnxpe,0.798,0.574,938,1811
gjypqsjx,0.561,0.767,168,290
mmuajmhc,0.83,0.787,331,1089
ousiudhg,0.349,0.124,946,1375
zarnlnww,0.567,0.883,424,899
ndujazya,0.189,0.995,368,1373
jgsudoxy,0.535,0.992,255,357
puhhyirg,0.012,0.919,235,1216
bkblrwkd,0.26,0.907,300,1702
szlnaldq,0.416,0.75,684,1510
nxkqyvnt,0.423,0.222,487,561
svbvlhyo,0.209,0.054,423,715
hamxyeox,0.095,0.617,63,1576
dxjftdrq,0.925,0.13,385,675
gfhdtgin,0.541,0.496,479,1654
ezpxtwjw,0.037,0.504,337,642
gikltncf,0.318,0.317,76,362
hbvhcdri,0.491,0.852,419,1715
kaaqotfq,0.833,0.681,154,1513
nfkwgque,0.156,0.484,165,1306
xhrpszoh,0.411,0.759,810,1405
riavgdxb,0.071,0.932,855,1881
jbkticrd,0.87,0.05,874,1123
hhfhwahd,0.331,0.76,56,1118
eroqnvco,0.537,0.163,249,1012
mggwuzty,0.02,0.331,896,1275
abvqacsj,0.204,0.649,664,1898
zbkorbjd,0.69,0.945,308,1094
xzpoypfc,0.224,0.052,164,590
vezrmpkw,0.833,0.949,510,1686
fmagepqo,0.729,0.86,647,1850
lplowmhx,0.551,0.796,399,436
piapdkyh,0.044,0.005,305,1044
fczfmfpu,0.774,0.216,462,778
lwyxrfot,0.696,0.372,626,1554
hoiwsepi,0.957,0.882,916,1032
eebvywos,0.74,0.353,602,834
kgjzttfc,0.831,0.329,976,1866
hhrekjpu,0.782,0.93,633,1905
gahstglq,0.662,0.073,759,1043
ukkesimy,0.515,0.436,359,1318
gtvddxin,0.625,0.061,778,1443
vyomkhbr,0.655,0.802,851,1484
zhrtavxn,0.818,0.754,590,1763
fnmdzqkj,0.78,0.836,793,1841
ixboznye,0.584,0.06,460,1384
fjwgssxk,0.968,0.74,7,1320
qipapavo,0.586,0.722,854,984
rxuwhvxn,0.874,0.059,13,504
ddjzatve,0.153,0.396,91,1308
txwikecq,0.756,0.28,858,953
ewlozctl,0.799,0.159,728,1161
mtcmpbgi,0.835,0.804,398,1986
bbrjpjom,0.888,0.103,962,964
fnwrpued,0.094,0.157,787,845
njkorzry,0.949,0.736,95,1156
zyirbnpf,0.058,0.967,637,902
pxfxlgip,0.162,0.986,80,434
fvxxjrkq,0.637,0.26,850,1549
yhtysprm,0.683,0.138,267,1869
cluyfkye,0.382,0.983,661,1508
syojrhuh,0.282,0.255,586,738
txbbkaja,0.468,0.529,93,187
juptcalt,0.213,0.441,794,1117
gemhptst,0.288,0.798,925,1270
uujytnta,0.361,0.142,700,1057
xercnwfi,0.446,0.428,600,1226
vpwgxgue,0.036,0.781,950,992
vjtmhvtq,0.432,0.124,410,1927
saexneqf,0.239,0.314,348,1254
jpycjdhs,0.712,0.215,980,1278
fkwaisal,0.491,0.65,473,1952
oruzjtmo,0.718,0.339,601,1783
