name,x,y,time_in,time_out
acedccox,0.905,0.622,326,1609
vogxkfqs,0.573,0.395,650,734
jnxrvnwi,0.581,0.478,884,1813
gqttwfta,0.09,0.136,662,1881
riaynopu,0.057,0.008,923,1818
szrmtqcs,0.17,0.059,918,1323
xblaqhjw,0.19,0.62,748,1224
ieqzmvlu,0.151,0.121,687,1261
kyawipbv,0.107,0.47,356,1840
xxutkvfo,0.589,0.855,892,1511
lskpddsp,0.997,0.525,549,1227
jkjfpkfb,0.616,0.903,265,482
dssjtzhf,0.786,0.126,389,603
clmmlwbk,0.468,0.687,50,1251
pqtdqbuc,0.082,0.901,288,1779
strfpnvn,0.935,0.741,177,1829
ycekdkrt,0.889,0.836,834,1753
flpicnyq,0.511,0.265,227,299
ttuiochk,0.711,0.173,312,1677
newaqazg,0.37,0.331,573,1433
nymabyce,0.939,0.633,916,1577
zvgozehu,0.41,0.79,372,593
fupeufpn,0.658,0.37,98,1129
qeqjvrpz,0.331,0.078,900,1204
nkmlwgtw,0.253,0.916,485,1250
yzqwnltp,0.863,0.098,521,1811
eywchvtp,0.828,0.193,667,1687
jptklxsd,0.37,0.375,129,1154
asqzcgzz,0.524,0.047,820,1446
pavkcpgc,0.21,0.311,656,1417
afijqwhv,0.166,0.452,509,1350
dcmkacpb,0.098,0.034,382,1987
mrncvrfb,0.411,0.872,796,1324
ciizetfq,0.167,0.779,63,1942
qxdpeokt,0.779,0.185,42,378
zphykqsx,0.576,0.523,196,1385
kposczwy,0.503,0.121,608,1960
iavcggiz,0.246,0.377,273,1732
ozdtzsei,0.195,0.176,4,1279
jizqrgqe,0.389,0.969,963,973
okbnystz,0.9,0.591,695,932
jmmszpfr,0.721,0.95,147,1104
vgiafamk,0.213,0.873,713,1811
bixxmcti,0.515,0.232,537,577
jtqjcnsw,0.729,0.334,898,1564
lxgzdvdb,0.188,0.254,552,1441
xctcxwaa,0.148,0.193,141,1221
pgfcgiqg,0.894,0.401,511,1447
elcetbyf,0.567,0.332,270,1503
bzivtsag,0.033,0.373,271,1756
dbgpjyxl,0.079,0.636,268,851
wpzxwahn,0.498,0.856,821,1835
qlzezrgd,0.839,0.763,972,1510
rxrxrios,0.559,0.41,805,1443
dlvpisvj,0.322,0.47,205,1509
iwiwwoit,0.316,0.949,581,1841
ksolheqt,0.818,0.807,453,825
bhatpzkv,0.599,0.917,227,1752
krgxwxoe,0.34,0.722,718,1908
htrccmcx,0.983,0.413,742,1439
fpffowxg,0.773,0.233,305,367
mdfinaex,0.415,0.156,686,1975
