name,x,y,time_in,time_out
johyouvm,1.0,0.137,491,1493
gcvobvil,0.645,0.505,613,1495
gaiaajau,0.507,0.343,739,1787
gdpnmzjj,0.903,0,584,917
vogwabou,0.832,0.018,655,1942
wyerqbfe,0.394,0.756,657,1948
rhvjthmj,0.91,0.24,312,685
fpdlepgb,0.29900000000000004,0.851,909,1054
evcrxssr,0.632,0.518,581,1379
ustnimxc,0.133,0.717,722,1290
ryykxbjd,0.744,0.406,35,881
ewwakrwp,0.887,0.263,239,1159
hqsfhddi,0.123,0.727,818,1286
xufznyhs,0.399,0.751,397,1349
wovcshvg,0.2,0.9500000000000001,946,1357
peyeaqqg,0.4,0.75,741,1434
rpwtxaeo,0.756,0.094,498,1395
znsuuplw,0.323,0.527,280,1332
bhhxumpp,0.783,0.367,291,1250
brcskbcv,0.586,0.5640000000000001,441,1670
svyeoenr,0.41800000000000004,0.432,452,1018
rvmvnlpw,0.891,0.259,334,1291
eghntmuu,0.182,0.9680000000000001,152,321
ononmoni,0.7040000000000001,0.446,3,660
kcuwdmag,0.687,0.46299999999999997,0,461
fnfczful,0.858,0,373,1972
vykwmich,0.854,0.296,994,1939
ygmcgvte,1.0,0.126,716,1911
gzznyxit,0.823,0.027000000000000052,481,1306
foxiyago,0.228,0.622,935,1405
koymcrfo,0.484,0.666,203,1451
czrzyycw,0.626,0.224,678,1908
acjatlcz,0.622,0.528,649,1481
esevtwss,0.915,0.23499999999999996,284,1579
jcuptbha,0.391,0.45899999999999996,38,1273
jkowutjy,0.694,0.15600000000000006,531,1446
ypycbioh,0.214,0.936,150,524
uhtwhpbr,0.127,1.0,940,2000
mwlhrxxg,0,0.867,69,1171
awofwbar,0.368,0.782,565,1946
sjlviixf,1.0,0.044,485,1190
uzpkieam,0.458,0.392,635,850
dmfydljy,0.536,0.31399999999999995,657,1271
gmcwsmof,0.834,0.016,113,1519
urgusgcb,0.637,0.513,507,1232
cgmzuitx,0.961,0.18900000000000003,982,1258
hambjrtv,0.289,0.561,551,1898
zuqowqrn,0,0.988,530,630
hzgstoay,0.7280000000000001,0.422,654,1041
szrpsrvs,0.069,1.0,19,1255
oajqhtkn,0.161,0.989,113,1632
tijkjzwt,0.375,0.775,156,1855
xrnfxkpb,1.0,0.016,507,1333
nbtzlkjr,0.732,0.118,61,1402
tipzqcvy,0.531,0.619,487,1406
fcvyspvo,0.214,0.936,286,1862
fccutvrq,0.803,0.04699999999999996,905,1036
cupnauqa,0.338,0.8119999999999999,688,952
orzaxdem,0.681,0.469,592,1444
rahqgehg,0.6,0.55,214,977
bfsngpou,0.087,1.0,253,914
hwbkyugc,0.42700000000000005,0.723,702,1115
zjuffqej,0.461,0.689,317,1796
sknbvddx,0.395,0.755,986,1118
cmudxcyf,0.802,0.348,145,390
bgqttydq,0.09,0.76,208,1047
skkzdqvs,0.912,0,675,854
komtnvtn,0.145,0.705,107,604
tpgtocuo,0.48,0.37,930,1706
yksgnmjx,0.787,0.063,435,1554
luqrfnjq,0.822,0.328,864,1138
uxijvvqj,0.7879999999999999,0.062,575,626
fozglmte,0.603,0.247,898,973
hbcwnfri,0.979,0.171,287,581
ewphcdxu,0.773,0.377,326,772
zvslntth,0.445,0.4049999999999999,707,1596
unffbzkq,0.51,0.64,612,1475
whkcqwsz,0.033,1.0,77,1058
kdzrikte,0.065,1.0,972,1005
kiiujxlh,0.836,0.314,595,1379
kyjvnugi,0.892,0.258,902,1313
mfjatxey,0.649,0.501,246,1484
fvvgggyo,0.618,0.232,467,817
kyatnymr,0.749,0.101,995,1850
shpgnktc,0.502,0.348,219,1820
uzqhivmr,0.946,0.20400000000000004,861,1829
mhrsmdre,0.477,0.373,961,1524
eljzjlgj,0.961,0,246,464
ehowvogm,0.911,0.23899999999999996,42,832
bzuccdor,0.43200000000000005,0.718,415,1971
hvpexppq,0.5519999999999999,0.298,258,1398
jwgxxqvw,1.0,0.05,324,1291
xwiticny,0.22299999999999995,0.927,892,1356
zjnkuqjp,0.608,0.24200000000000002,69,531
ksgtpjan,0.265,0.585,830,1320
gkisqdec,0.995,0,209,647
dhbudgvj,0.19800000000000004,0.952,947,1834
ywynlyzm,0.626,0.524,449,1471
gfhcnuit,0,0.988,791,1163
pmoyaqln,0.5780000000000001,0.572,429,1128
iotdpfkh,0.728,0.12200000000000003,303,1536
julyftly,0.197,0.6529999999999999,816,1644
yscneyta,0.108,0.742,792,1371
xlruhqpi,0.11500000000000002,0.735,425,1138
lbljroyt,0.121,1.0,523,1543
xkyjrmas,0.358,0.792,373,465
qwcngtrs,0.632,0.518,915,1866
inamsebp,0.069,0.781,945,1945
nsgohemt,0.769,0.08099999999999999,483,1258
lucnfuqx,1.0,0.123,992,1860
alwyhbyk,0.075,0.775,576,1114
aodqnrnz,0,0.999,389,1208
uoselpnw,0.98,0.17,393,1796
ftpsgfhp,0.343,0.807,78,101
zylxsylo,0.12000000000000002,0.73,22,1256
xfeqgffw,0.5650000000000001,0.585,253,1581
ztgcbryl,0.19000000000000003,0.96,7,439
qbkdxugz,0.627,0.523,674,1131
jjfrqiqw,0.491,0.359,484,1638
gfthqhti,0.32699999999999996,0.523,759,1158
sxhyqfob,0.445,0.4049999999999999,70,367
qrburheo,0.259,0.891,46,278
uhmezcrr,0.94,0,416,984
uyqcfsmt,0,0.915,601,1658
yvroqraj,0.436,0.41400000000000003,934,1286
defcxprw,0.030000000000000054,0.82,476,794
cuahlkwb,0.81,0.33999999999999997,816,1365
snotscnd,1.0,0.054,820,1859
vulhsrxv,0.17600000000000002,0.974,523,818
jonradyz,0.456,0.6940000000000001,18,1493
bplpblbr,0.378,0.472,972,1139
ypaaowlj,0.025,0.825,819,1705
qxmjltlf,0.529,0.32099999999999995,938,1402
qjqkivjk,0.547,0.303,948,1962
simyfblq,0.299,0.8510000000000001,338,901
gecoopfq,0.274,0.876,309,1689
wjvtijdx,0.616,0.534,163,943
lmzvrani,0.293,0.557,776,1687
jgwjhpoy,0.011,0.839,698,1261
vveuacav,0.922,0.22799999999999995,937,1717
aybkbgqf,0.33299999999999996,0.517,598,938
ewmftozk,0.668,0.182,625,1737
cjebzeoh,0.988,0,699,855
lrdzkxtp,0.148,0.702,163,783
zspwsrdx,0.8049999999999999,0.045,437,742
iipsdpbh,0.49,0.66,180,1698
xjhvvcty,0.099,0.751,686,1017
gqdxohze,0.07,1.0,94,1134
vazfevba,0.813,0.3370000000000001,291,986
orjyoxpx,0.7929999999999999,0.057,751,1984
njeeykfj,0.801,0.349,840,936
aztmbzgl,0.23,0.62,895,1027
wxbryjzl,0.509,0.341,192,816
gxaragzp,0.027,1.0,372,1437
wzxpczfh,0.668,0.18199999999999997,450,1303
nxozpvqy,0.29900000000000004,0.851,180,233
enfxcrms,0.156,0.694,47,146
ljiukrbv,0.487,0.663,457,1056
ydshnynf,0.996,0,486,1224
csbgxfhy,0.689,0.161,339,1592
ccdaeqom,0.835,0.015000000000000041,948,1081
ixtelwpf,0.817,0.03300000000000006,656,1250
zzmkirlt,0.032000000000000056,0.818,273,519
cgoxtnxr,0.28500000000000003,0.565,710,1702
ydjzydit,0.921,0.22899999999999995,674,1033
yvpylgaf,0.619,0.231,251,1350
jgeigznr,1.0,0.078,784,1075
efvguuon,0.372,0.478,367,1688
