name,x,y,time_in,time_out
kccmzkju,0.913,0,545,1754
xtpguaqu,0.55,0.6,950,1150
evluwxin,0,0.856,290,464
mcthispl,0.43099999999999994,0.419,85,699
luxqhxbh,0.027,1.0,107,415
satbmhrl,0,0.997,549,1870
ufcttdfj,0.503,0.347,273,1619
uoskmumj,0.386,0.464,504,705
mjxltwei,0.977,0.173,749,1811
ouocmidd,0.761,0.089,889,1649
drgggbxt,0.457,0.3929999999999999,823,1410
rlzdygdl,0.24999999999999997,0.9,705,1805
hbpxzqmk,0.753,0.097,493,1788
mguufiar,0.152,0.698,316,1002
kingrpyu,0,0.954,564,1510
ymcrvgzy,0.641,0.209,739,949
ozdkgnlh,0.255,0.895,295,372
gsijjjep,0.694,0.15600000000000006,890,1683
vtxgcykf,0.119,1.0,655,1335
bwwwrdmz,0.13200000000000003,0.718,285,1988
xyyutdfi,0.619,0.531,532,1303
lhjodunb,0.257,0.593,507,873
gsmhieft,1.0,0.065,30,656
enaxjynw,0.379,0.471,998,1521
kbhvjmmw,1.0,0.11,747,781
qtmwezdp,0.95,0.20000000000000004,928,1631
ffxglcza,0.044,1.0,24,913
bwumldwp,0.267,0.883,311,1019
fmnapgzc,0.74,0.41000000000000003,586,1085
kpcngbum,0.631,0.519,153,443
svhynjue,0.021000000000000046,0.829,217,304
ivzakldd,0.721,0.429,521,759
pngdjonv,0.841,0.30900000000000005,516,1555
fmoismtg,0.369,0.781,130,1061
gzpanlli,0.5670000000000001,0.583,218,617
shdfcorl,0.3989999999999999,0.451,856,1599
nkedolhg,0.568,0.28200000000000003,889,1122
harrohtn,0.925,0.225,382,846
yawoocxd,0.312,0.5379999999999999,746,1508
aedgnekj,0.326,0.824,356,1165
esddvxxa,0.7859999999999999,0.064,791,1404
ieeeggax,0.968,0,960,1192
qdchxfnq,0.204,0.9460000000000001,860,1549
rrxpacml,1.0,0.032,341,1321
rzyiikjd,0.771,0.07899999999999999,195,317
fekqfuzm,0.791,0.059,575,623
zrpziqpx,0.31799999999999995,0.532,271,1255
azqtwdsy,0.956,0,832,1722
kknpevhc,0.253,0.897,66,1583
uppyhlqf,0.344,0.506,761,1543
wyojpito,0.905,0.245,270,1826
outqlstg,0.9410000000000001,0.209,606,1020
lwokxtbp,0.665,0.485,204,205
dqjkvqrm,0.477,0.373,858,1687
dzvncxjz,0.995,0.155,781,1993
mkzgldqm,1.0,0.014,937,1006
htpbirky,0.024,0.826,462,473
pipalelv,0.474,0.376,59,706
pktuabzg,0.589,0.561,446,1433
sqcnkhid,0.148,1.0,207,260
vanchiqw,0.197,0.953,173,916
mepymbcu,0.846,0.30400000000000005,27,1993
yihlhhmk,0.577,0.273,28,1977
ukyhxbyf,0.11,1.0,216,1898
grdqleke,0.292,0.858,285,834
cdksdrqa,0.313,0.537,909,1406
ktvoieqx,0.486,0.364,335,1470
mlcpvvzs,0.184,0.666,636,1603
uqpehlwb,0.9390000000000001,0.211,435,638
kuknxdsw,0.749,0.401,192,1500
vnymaaqn,0.491,0.659,72,1439
oguqhdhy,0.42400000000000004,0.426,693,1176
nmrkyzaj,0.125,0.725,214,629
ysdenroa,0.891,0.259,342,1540
jkltnnzt,0.26,0.89,122,213
xhiqrbbd,0.7280000000000001,0.422,262,804
btwjxypj,0.199,0.6509999999999999,796,1288
ihjgpumj,0.492,0.658,899,1530
euolplrc,0.476,0.674,606,1635
vfappwjr,0,0.901,704,1899
vbaerjhj,0.674,0.476,285,791
wibepdwr,0.774,0.076,607,1840
lzktgsyk,0.251,0.899,22,1744
lrjqmmaw,0.749,0.101,241,860
hlrjnnbx,0.393,0.757,729,1201
smjzrbul,0.75,0.1,375,1930
frflmwpz,0.257,0.593,438,1754
gmxyywlk,0.731,0.419,709,1849
kzitpqhl,0.381,0.469,41,516
cnwqrpov,0.292,0.858,383,933
xrjkxetj,0.732,0.11800000000000002,752,1973
kkgitbod,0.9,0,419,771
inuszcjq,0.20000000000000004,0.95,274,1840
qaszdozh,0.776,0.07399999999999998,522,850
mcdjeldr,0.464,0.386,505,721
xnyqjndf,0.659,0.491,804,1323
kggfmsav,0.167,0.983,226,1829
xtnfvbfm,1.0,0.017,634,1370
sufwbhze,0.375,0.775,180,370
ipoayzai,0.701,0.44900000000000007,955,1535
gwsnditn,0.802,0.04799999999999996,782,1789
twtndzwt,0.718,0.43200000000000005,425,1083
mhxfrxnc,0.086,0.764,144,1855
emfgfpnt,0.516,0.634,596,1783
gcismgtw,0.994,0,353,1436
emqkoeeo,0.629,0.221,914,1053
bllucebv,0.3,0.5499999999999999,914,1264
sasgnear,0.378,0.772,400,838
yajwdxke,0.799,0.351,862,994
mxxjkwsr,0.418,0.7320000000000001,997,1665
ybcwnhnk,0.792,0.05799999999999997,885,1200
hbejgpqc,1.0,0.146,214,650
ebewztfx,0.855,0,311,839
yfofvygh,0.673,0.477,794,1509
kpvlitny,0.371,0.779,889,961
dtagmeiv,0.441,0.709,238,1801
ztumldlj,0.868,0,358,1577
oxpqyogl,0.116,1.0,587,1952
pvfghgvh,0.757,0.093,794,1747
kwzgaaoe,1.0,0.023,279,1521
tyuwqaqr,0.3350000000000001,0.815,891,1298
vomprqrt,0.239,0.611,883,958
