name,elevation,aspect,time_in,time_out
qptwgjvl,0.369,0.142,215,1248
owxulvqs,0.366,0.156,269,378
tocagzov,0.473,0.386,23,1544
ekzastlh,0.463,0.431,645,880
stbdfsir,0.368,0.125,369,863
sxfucsbo,0.36,0.367,957,1725
fndopvkd,0.374,0.125,386,1695
dpdonakz,0.373,0.136,412,1698
bpemsurp,0.379,0.125,290,1487
nokfkazn,0.377,0.164,415,1813
tdxlmest,0.377,0.558,56,459
cwmfpkyu,0.514,0.419,996,1993
vnqptojn,0.442,0.372,139,453
orphebpi,0.375,0.594,876,1986
fvmehdwe,0.322,0.436,408,1991
awlywfxo,0.318,0.142,509,557
xhypuutx,0.376,0.719,466,1211
sbnqvvkv,0.329,0.2,577,1091
mhqlvkvj,0.323,0.0,962,1047
gikkpxhy,0.322,0.106,133,947
emvngfkn,0.321,0.197,256,1529
gdozplxh,0.511,0.581,844,1465
evkhyjra,0.455,0.317,241,1193
jlcjnqtc,0.326,0.15,835,1926
urjwdipv,0.324,0.061,857,996
xinjbkoj,0.317,0.375,232,1435
mckbneij,0.315,0.453,395,1216
dcschocl,0.552,0.411,716,1843
tsjtovpm,0.476,0.375,429,1692
iwdjzzyk,0.44,0.325,140,891
qorxjlfo,0.422,0.339,295,1661
nyqxutmd,0.332,0.292,33,1656
wxmmgmgu,0.33,0.283,876,1865
lnobrbhv,0.329,0.064,133,475
nggtswut,0.328,0.114,692,896
lpabesoc,0.521,0.125,953,1024
clbkmsgc,0.425,0.347,746,751
qbawiikr,0.326,0.256,847,1797
xficrolf,0.445,0.272,677,701
tuisatee,0.414,0.983,933,1961
hwrzdyyn,0.42,0.964,159,702
zvgufnsm,0.356,0.961,464,1856
kzfaogzt,0.337,0.197,168,185
iswwjbgo,0.422,0.917,527,533
adxkxnbj,0.41,0.356,949,1366
zpinvmec,0.335,0.189,788,1564
wyesxlre,0.333,0.261,192,628
culjrubr,0.339,0.275,560,1676
drkcjedl,0.32,0.183,12,1271
rziykhsv,0.315,0.278,322,578
ogktoofs,0.427,0.325,492,1889
kqffrdvt,0.44,0.897,820,1648
sadkmdvk,0.419,0.2,838,1944
etwwjlgs,0.326,0.219,503,1426
vvexucsv,0.322,0.225,632,979
gvpxxiqj,0.432,0.875,151,1105
hpvnmhpt,0.321,0.206,388,955
gmdoelej,0.314,0.189,401,1929
iykzewbi,0.315,0.031,499,1886
kdissgct,0.315,0.117,704,1920
fvnjrmaz,0.316,0.208,913,1038
egzxcayx,0.547,0.297,834,1620
oolxaaws,0.423,0.25,634,1751
ugttdawb,0.324,0.111,579,690
qielaeug,0.321,0.136,350,1597
dwxajzqa,0.317,0.175,856,1644
juirhloe,0.325,0.164,327,1424
xirhtdaf,0.53,0.036,513,1124
amrdagvc,0.441,0.15,949,1762
vbzalavl,0.391,0.222,922,1051
ojevbxsc,0.492,0.461,472,837
hmsfgwlr,0.575,0.125,253,1387
aftypuys,0.517,0.317,474,1090
pmmntlrz,0.496,0.017,30,1211
ortfzhos,0.385,0.083,354,488
dhsbvgei,0.503,0.328,892,933
jlvhhedx,0.484,0.444,200,248
xrueitue,0.335,0.906,20,394
ytozcmsa,0.475,0.275,561,1228
pcmgsckg,0.491,0.425,453,719
xriximao,0.468,0.219,246,1055
zfbmhkjw,0.444,0.397,979,1882
cvawrqro,0.494,0.978,779,1978
ljpajsnp,0.491,0.039,288,468
lghmvlrn,0.339,0.117,554,1208
jdoquqwn,0.501,0.994,211,873
maaxbqni,0.48,0.922,668,822
gaexrkzc,0.471,0.05,332,1308
ngxsncwo,0.466,0.175,167,353
