name,elevation,aspect,time_in,time_out
jrrjtilj,0.369,0.142,248,1831
roabnyds,0.366,0.156,143,1786
edmnrzyy,0.473,0.386,664,1476
tygqwyhi,0.463,0.431,887,1758
bcuuctwv,0.368,0.125,460,978
aahmzsmm,0.36,0.367,821,1976
ncwfyhkm,0.374,0.125,889,1798
vivdaaod,0.373,0.136,752,886
elacynrq,0.379,0.125,445,489
mbowihyr,0.377,0.164,765,1049
gyfxkwie,0.377,0.558,884,1849
wmxvhdjt,0.514,0.419,297,1272
srazjzec,0.442,0.372,64,1043
lsilwhsu,0.375,0.594,627,832
szpaofym,0.322,0.436,976,1569
fripktcf,0.318,0.142,622,1147
iqbzjorb,0.376,0.719,728,834
flaixebh,0.329,0.2,969,1746
ztmgjzlf,0.323,0.0,56,429
mqedztrm,0.322,0.106,802,1322
hsltdpnf,0.321,0.197,135,1598
cthpkbjr,0.511,0.581,917,1132
ewtujkrd,0.455,0.317,772,1977
vnzmvmba,0.326,0.15,433,1802
osrfaewe,0.324,0.061,525,1004
pbxbxujk,0.317,0.375,820,1126
mokeoeqj,0.315,0.453,498,1420
almfvobi,0.552,0.411,244,416
wtrvubap,0.476,0.375,11,1837
udcbntgo,0.44,0.325,823,839
wqazfdxz,0.422,0.339,185,1662
ospjbsdw,0.332,0.292,83,1781
tvgiocao,0.33,0.283,585,1692
evrekwwz,0.329,0.064,463,1116
cplmqdlm,0.328,0.114,886,1485
lajxpqlx,0.521,0.125,397,1663
mktyivrw,0.425,0.347,535,594
fvqjjeqx,0.326,0.256,138,469
laclagvl,0.445,0.272,922,1808
jqdocehm,0.414,0.983,618,1981
zoqtthle,0.42,0.964,624,1426
qskljrgi,0.356,0.961,264,363
ibydnfqb,0.337,0.197,671,1201
kfcopttj,0.422,0.917,322,632
wynxxxjm,0.41,0.356,63,939
pywpnezm,0.335,0.189,24,563
lhxniedg,0.333,0.261,491,517
thnrkdbr,0.339,0.275,262,421
ukbbvdoc,0.32,0.183,552,1781
tfnccefe,0.315,0.278,834,919
agulnvny,0.427,0.325,287,1648
kelaioay,0.44,0.897,578,1597
cbkoqlwj,0.419,0.2,375,1324
ahlnyamu,0.326,0.219,959,1669
gvzfcqcu,0.322,0.225,806,1369
ojggmpcj,0.432,0.875,49,1059
jkyaghie,0.321,0.206,735,965
esrnlbnq,0.314,0.189,277,346
hzlgjkwo,0.315,0.031,197,1663
lqinwlck,0.315,0.117,269,1837
sxqfgakm,0.316,0.208,831,1029
bpfkvofi,0.547,0.297,392,796
pexemkxn,0.423,0.25,854,1624
dzpsfqvu,0.324,0.111,501,840
bmwcoczr,0.321,0.136,403,1910
kisgoycb,0.317,0.175,629,1568
tpgzdicp,0.325,0.164,627,1240
ziyjnjpe,0.53,0.036,388,497
egeektsw,0.441,0.15,227,791
bdycodwk,0.391,0.222,940,1825
kjphnnst,0.492,0.461,890,1373
vqtvaeap,0.575,0.125,457,1806
afehetfw,0.517,0.317,967,1387
cqisulhf,0.496,0.017,979,1737
ohbyzjcd,0.385,0.083,850,997
liynpedc,0.503,0.328,39,971
comxsoqy,0.484,0.444,996,1711
mvjfoglf,0.335,0.906,472,844
avgqnqlz,0.475,0.275,313,1695
wbfuexvf,0.491,0.425,136,792
hbnkdpfh,0.468,0.219,513,1376
tihhcvcp,0.444,0.397,239,1232
mcotnduw,0.494,0.978,604,1070
ebbdljam,0.491,0.039,706,1680
bpkrlrys,0.339,0.117,334,1888
amhnzbom,0.501,0.994,604,1188
yiacrkbz,0.48,0.922,173,1996
ynrsbklw,0.471,0.05,581,798
jfwzkesn,0.466,0.175,780,1095
hvqpofdc,0.443,0.85,918,1191
xrzpuxoo,0.328,0.283,530,1074
bopapasv,0.465,0.036,294,1060
zuivnuvv,0.352,0.983,906,1757
btjcfdoz,0.607,0.481,320,502
vyvrlzyh,0.56,0.197,833,1671
cyldppyb,0.501,0.086,474,1954
uvglimtn,0.604,0.456,688,1215
svavmqek,0.473,0.2,465,1103
hyhhhlir,0.352,0.164,883,1751
srixewxa,0.354,0.094,592,1615
vnxnkatb,0.57,0.125,484,1633
knfcoacq,0.413,0.233,511,1609
jdmdsksl,0.409,0.117,487,1409
ytincbfg,0.502,0.283,427,868
hlngiacf,0.358,0.472,835,1408
cnpuadyq,0.326,0.586,591,1656
qjzbkyzn,0.604,0.089,116,668
kjgsdqkb,0.525,0.158,66,1513
okeyyzin,0.502,0.967,692,1535
phxvgzsj,0.354,0.925,825,836
qualwpqg,0.662,0.292,691,1509
jstpufqg,0.48,0.9,942,1881
zbmtzqhr,0.447,0.922,853,992
qywzcixy,0.446,0.244,732,1718
gohqsdqi,0.355,0.283,615,1905
djedryjg,0.668,0.308,947,1169
erizglmu,0.562,0.147,893,1377
mnzrxxvf,0.496,0.161,383,1475
fbrjxzay,0.364,0.211,209,640
erlcvkik,0.489,0.047,618,1532
mnkfyokj,0.432,0.275,622,967
rwhhhkbb,0.606,0.0,664,711
joxrijbz,0.599,0.344,658,1150
