name,elevation,aspect,time_in,time_out
ugniewns,0.369,0.142,874,1297
rfbifzzw,0.366,0.156,189,1531
rewsttbl,0.473,0.386,417,1099
xfaiybas,0.463,0.431,898,1515
efbxhhsw,0.368,0.125,378,1359
tedgmdtr,0.36,0.367,641,1893
xboiilen,0.374,0.125,729,816
ghbmfvtx,0.373,0.136,815,1549
akrkjwal,0.379,0.125,60,1031
vbroiwmh,0.377,0.164,37,1195
wzsyualc,0.377,0.558,41,1931
xdsqvimu,0.514,0.419,919,1074
suxfbkee,0.442,0.372,88,1703
howeddyf,0.375,0.594,148,1692
mqplxhil,0.322,0.436,969,1171
iasvagte,0.318,0.142,702,1665
xlwatcpq,0.376,0.719,32,228
vocfnkye,0.329,0.2,941,1425
lcwxzong,0.323,0.0,704,1202
foojrace,0.322,0.106,130,1606
rnyrzohu,0.321,0.197,470,1468
pfhikhjc,0.511,0.581,231,1600
sjbuxgmy,0.455,0.317,933,1237
jghkrbed,0.326,0.15,404,845
tmxjftrw,0.324,0.061,439,1819
zewsonjq,0.317,0.375,857,1704
yredcbvv,0.315,0.453,595,1866
nanwiedq,0.552,0.411,535,1811
vkctchcj,0.476,0.375,131,1435
oeqiyhfd,0.44,0.325,718,1454
iorjnejz,0.422,0.339,361,697
qjmulqir,0.332,0.292,321,563
vcsuvrif,0.33,0.283,636,1105
gderwsru,0.329,0.064,272,1808
hskkzdrz,0.328,0.114,993,1695
mymxbmdz,0.521,0.125,238,1403
ywlxkmcb,0.425,0.347,895,1202
kcnlqanj,0.326,0.256,8,1218
weefgcqk,0.445,0.272,535,1077
xvxdhksw,0.414,0.983,286,1085
syvrwlbk,0.42,0.964,647,1819
minzmual,0.356,0.961,463,609
vggazkeu,0.337,0.197,901,938
mbbctzka,0.422,0.917,275,687
pahdncqo,0.41,0.356,101,634
meuctpzz,0.335,0.189,412,1013
bcdidegi,0.333,0.261,981,1649
gphrvokx,0.339,0.275,253,1944
dsxofunt,0.32,0.183,14,750
wzjryysc,0.315,0.278,367,1387
eqoltbuw,0.427,0.325,883,1481
ommrsvtm,0.44,0.897,467,1143
aoczhudh,0.419,0.2,362,1595
gritawxq,0.326,0.219,92,108
zqhpgbma,0.322,0.225,153,1069
obnsbvjn,0.432,0.875,794,1988
tbwszjyr,0.321,0.206,839,991
imitxpjd,0.314,0.189,352,1241
apmoqguq,0.315,0.031,337,1591
decfzotc,0.315,0.117,205,492
bbuycteg,0.316,0.208,124,544
jwoehjou,0.547,0.297,191,1076
ogfggkyv,0.423,0.25,221,516
cnkzyhra,0.324,0.111,747,1036
unodmbqk,0.321,0.136,201,622
bgrkeikw,0.317,0.175,138,530
vcrkqrhl,0.325,0.164,315,1919
bqnrmhhr,0.53,0.036,495,1476
zaxcefgc,0.441,0.15,354,1438
npjdknzv,0.391,0.222,117,1065
sqlgkqoq,0.492,0.461,137,256
ltazcaap,0.575,0.125,801,1797
xdezcibe,0.517,0.317,336,684
mjbnkfqv,0.496,0.017,630,1643
rxxrrhjs,0.385,0.083,356,1220
sowowoha,0.503,0.328,41,1157
sznbeihi,0.484,0.444,112,1993
iuyvakcd,0.335,0.906,799,1393
